dataset,mae,mad,rmse,mape,r2,r2-adj,time_added
velocity_calc-current,0.0029260603914978453,0.0029260603914978453,0.0034191531214783307,0.012540330775771165,-1.6558378352164271,-1.6560029273924215,2023-05-17 14:40:10
velocity_calc-retrained,0.299672094842401,0.299672094842401,0.299676873940343,1.2680498633586599,-118583412.66764973,-118590784.04911724,2023-05-17 14:42:23
velocity_calc-current,0.0105988685029136,0.0105988685029136,0.17002194399617923,0.05190163272659366,-0.0019171576302097204,-0.002199070167528294,2023-05-17 17:22:48
velocity_calc-retrained,0.2857346697989311,0.2857346697989311,0.28574734643262195,1.209784007760801,-18062.7909146028,-18067.87357946341,2023-05-17 17:23:30
velocity_calc-current,0.002923360060310938,0.002923360060310938,0.0034019102875691818,0.012528912037808652,-1.723800035934841,-1.7239581482025566,2023-05-17 18:09:23
velocity_calc-retrained,0.36214297258227673,0.36214297258227673,0.36214674434469935,1.5283430907409818,-122954560.86678346,-122961698.1838942,2023-05-17 18:11:48
velocity_calc-current,0.0026825045761296167,0.0026825045761296167,0.0031243018183624792,0.011496536723607658,-1.6308151106912452,-1.6309678253316755,2023-05-18 08:22:26
velocity_calc-retrained,0.2744938675443364,0.2744938675443364,0.27449854257962747,1.1627441734189652,-140635971.84067866,-140644135.535625,2023-05-18 08:24:40
torque-current,1.027257141039983,1.027257141039983,1.2854112053211202,2.239980077079833,0.11898372940616553,0.11893252836760027,2023-05-22 17:40:06
torque-retrained,0.7638356795355216,0.7638356795355216,0.9879830072039995,1.6621563416755314,0.47952638748250453,0.47949613969889804,2023-05-22 17:44:36
velocity-current,0.0017891142281015195,0.0017891142281015195,0.002135519004993722,0.007667965496317852,-0.15104035849758413,-0.1511071745629755,2023-05-23 10:32:07
velocity-retrained,0.30111849121094614,0.30111849121094614,0.3011227540380927,1.2740881599813487,-131680160.70451044,-131687804.52883878,2023-05-23 10:34:38
velocity-current,0.0017891142281015195,0.0017891142281015195,0.002135519004993722,0.007667965496317852,-0.15104035849758413,-0.1511071745629755,2023-05-23 10:40:09
velocity-retrained,0.3011603542420827,0.3011603542420827,0.30116509704513594,1.274265290578884,-131717196.27197586,-131724842.2461601,2023-05-23 10:42:46
velocity-current,0.001724023708908927,0.001724023708908927,0.0020551026826525418,0.007388988842607284,-0.13828605874646782,-0.13835213444500782,2023-05-25 15:20:41
velocity-retrained,0.27451165939069,0.27451165939069,0.2745170664769607,1.1628195393518672,-140654953.46585038,-140663118.26264992,2023-05-25 15:23:24
