dataset,window_start,window_end,comment,freq,exp_mean,window_mean,exp_rmse,window_rmse
velocity_calc,2022-12-15 13:02:19,2022-12-15 13:04:18,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,23.33287258937695,23.332915851673793,0.0020101365047055,0.0005581930071978427
torque,2022-12-17 00:09:08,2022-12-17 00:13:07,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,45.07198675397533,43.489583333333336,0.8795153251058748,0.8103910790178916
torque,2022-12-17 00:09:06,2022-12-17 00:13:05,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,45.07198675397533,43.4875,0.8795153251058748,0.8053420396910415
torque,2022-12-17 00:09:07,2022-12-17 00:13:06,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,45.07198675397533,43.47895833333334,0.8795153251058748,0.8056239261181296
torque,2022-12-17 00:09:10,2022-12-17 00:13:09,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,45.07198675397533,43.483333333333334,0.8795153251058748,0.8102630986703068
torque,2022-12-17 00:09:09,2022-12-17 00:13:08,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,45.07198675397533,43.4875,0.8795153251058748,0.8102480519558816
torque,2022-12-17 00:09:11,2022-12-17 00:13:10,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,45.07198675397533,43.490625,0.8795153251058748,0.8103626538894784
torque,2022-12-17 00:09:12,2022-12-17 00:13:11,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,45.07198675397533,43.48083333333334,0.8795153251058748,0.8107826208751998
torque,2022-12-17 00:09:13,2022-12-17 00:13:12,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,45.07198675397533,43.48020833333333,0.8795153251058748,0.8107524143807331
torque,2022-12-17 00:09:14,2022-12-17 00:13:13,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,45.07198675397533,43.47833333333334,0.8795153251058748,0.8114345622905474
velocity_calc,2022-12-15 13:08:19,2022-12-15 13:12:18,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,23.33287258937695,23.332923038234913,0.0020101365047055,0.000506408252944002
velocity_calc,2022-12-15 13:08:20,2022-12-15 13:12:19,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,23.33287258937695,23.33293104749417,0.0020101365047055,0.0005053735166739416
velocity_calc,2022-12-15 13:08:21,2022-12-15 13:12:20,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,23.33287258937695,23.332936276304714,0.0020101365047055,0.0005042109646048383
velocity_calc,2022-12-15 13:08:22,2022-12-15 13:12:21,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,23.33287258937695,23.332919192971378,0.0020101365047055,0.000504193488258302
velocity_calc,2022-12-15 13:08:23,2022-12-15 13:12:22,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,23.33287258937695,23.33293801241582,0.0020101365047055,0.0005039283892185466
torque,2022-12-17 00:06:07,2022-12-17 00:10:06,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,45.07198675397533,43.579375,0.8795153251058748,0.7222450571350809
torque,2022-12-17 00:06:08,2022-12-17 00:10:07,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,45.07198675397533,43.58645833333333,0.8795153251058748,0.7264455988551968
torque,2022-12-17 00:06:09,2022-12-17 00:10:08,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,45.07198675397533,43.58625,0.8795153251058748,0.7340861326601105
torque,2022-12-17 00:06:10,2022-12-17 00:10:09,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,45.07198675397533,43.57729166666666,0.8795153251058748,0.73612156943176
torque,2022-12-17 00:06:11,2022-12-17 00:10:10,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,45.07198675397533,43.58208333333334,0.8795153251058748,0.7371998088330863
torque,2022-12-17 00:06:12,2022-12-17 00:10:11,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,45.07198675397533,43.57541666666667,0.8795153251058748,0.7383237123116702
torque,2022-12-17 00:06:13,2022-12-17 00:10:12,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,45.07198675397533,43.577083333333334,0.8795153251058748,0.7383607729760367
torque,2022-12-17 00:06:14,2022-12-17 00:10:13,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,45.07198675397533,43.585625,0.8795153251058748,0.7385132117447067
torque,2022-12-17 00:06:15,2022-12-17 00:10:14,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,45.07198675397533,43.575,0.8795153251058748,0.7403739284704853
torque,2022-12-17 00:06:17,2022-12-17 00:10:16,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,45.07198675397533,43.588541666666664,0.8795153251058748,0.7452609028379334
torque,2022-12-17 00:06:16,2022-12-17 00:10:15,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,45.07198675397533,43.585625,0.8795153251058748,0.7410353151604806
torque,2022-12-17 00:06:18,2022-12-17 00:10:17,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,45.07198675397533,43.583958333333335,0.8795153251058748,0.7456924276501162
torque,2022-12-17 00:06:19,2022-12-17 00:10:18,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,45.07198675397533,43.600625,0.8795153251058748,0.747349596407241
torque,2022-12-17 00:06:20,2022-12-17 00:10:19,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,45.07198675397533,43.58708333333334,0.8795153251058748,0.7498189375069205
torque,2022-12-17 00:06:22,2022-12-17 00:10:21,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,45.07198675397533,43.58916666666667,0.8795153251058748,0.7425057061932676
torque,2022-12-17 00:06:21,2022-12-17 00:10:20,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,45.07198675397533,43.59020833333334,0.8795153251058748,0.7422572064673819
torque,2022-12-17 00:06:23,2022-12-17 00:10:22,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,45.07198675397533,43.57791666666667,0.8795153251058748,0.7361047399190856
velocity_calc,2022-12-15 13:08:19,2022-12-15 13:12:18,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,23.33287258937695,23.332923038234913,0.0020101365047055,0.000506408252944002
velocity_calc,2022-12-15 13:08:20,2022-12-15 13:12:19,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,23.33287258937695,23.33293104749417,0.0020101365047055,0.0005053735166739416
velocity_calc,2022-12-15 13:08:21,2022-12-15 13:12:20,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,23.33287258937695,23.332936276304714,0.0020101365047055,0.0005042109646048383
velocity_calc,2022-12-15 13:08:22,2022-12-15 13:12:21,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,23.33287258937695,23.332919192971378,0.0020101365047055,0.000504193488258302
